index,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.209,0.787,0.0,0.0,0.0,0.0,0.0
2,0.025,0.002,0.05,0.0,0.047,0.0,0.304,0.009,0.003,0.001,0.103,0.299,0.024,0.04,0.09,0.001,0.0
3,0.679,0.0,0.0,0.044,0.0,0.001,0.0,0.003,0.0,0.001,0.0,0.269,0.0,0.0,0.0,0.003,0.0
4,0.008,0.025,0.0,0.007,0.015,0.0,0.315,0.0,0.216,0.0,0.109,0.006,0.0,0.009,0.0,0.054,0.237
5,0.193,0.003,0.0,0.06,0.01,0.061,0.031,0.0,0.417,0.0,0.128,0.022,0.0,0.008,0.001,0.0,0.067
6,0.506,0.005,0.0,0.011,0.138,0.0,0.21,0.0,0.0,0.002,0.0,0.0,0.026,0.099,0.0,0.001,0.001
7,0.0,0.0,0.009,0.319,0.016,0.004,0.0,0.001,0.028,0.019,0.004,0.185,0.008,0.0,0.004,0.001,0.402
8,0.0,0.567,0.014,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.003,0.393,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.828,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0
10,0.006,0.0,0.0,0.307,0.59,0.0,0.005,0.0,0.036,0.0,0.014,0.042,0.0,0.0,0.0,0.0,0.0
11,0.0,0.924,0.0,0.0,0.003,0.0,0.004,0.0,0.001,0.0,0.019,0.0,0.0,0.0,0.0,0.049,0.0
12,0.0,0.59,0.046,0.134,0.002,0.0,0.0,0.013,0.002,0.0,0.171,0.0,0.0,0.0,0.0,0.04,0.0
13,0.0,0.006,0.0,0.818,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.161,0.0,0.001,0.012,0.0,0.0
14,0.0,0.009,0.034,0.186,0.046,0.019,0.072,0.008,0.026,0.0,0.078,0.013,0.035,0.002,0.108,0.344,0.021
15,0.003,0.0,0.001,0.016,0.13,0.008,0.1,0.001,0.379,0.0,0.033,0.004,0.0,0.003,0.027,0.214,0.079
16,0.094,0.07,0.022,0.131,0.002,0.222,0.1,0.006,0.133,0.0,0.04,0.0,0.087,0.02,0.0,0.003,0.07
17,0.533,0.179,0.003,0.0,0.001,0.005,0.013,0.0,0.131,0.001,0.005,0.028,0.043,0.0,0.001,0.0,0.056
18,0.0,0.005,0.025,0.24,0.018,0.012,0.028,0.019,0.103,0.0,0.0,0.429,0.084,0.001,0.002,0.033,0.0
19,0.156,0.178,0.039,0.004,0.067,0.009,0.0,0.001,0.061,0.002,0.0,0.386,0.023,0.027,0.043,0.0,0.003
20,0.001,0.0,0.016,0.396,0.04,0.0,0.022,0.0,0.0,0.0,0.151,0.227,0.022,0.006,0.014,0.104,0.001
21,0.739,0.002,0.0,0.032,0.061,0.0,0.014,0.002,0.0,0.0,0.0,0.0,0.062,0.0,0.043,0.0,0.046
22,0.004,0.118,0.011,0.004,0.0,0.026,0.181,0.02,0.0,0.0,0.395,0.0,0.0,0.072,0.0,0.0,0.169
23,0.002,0.024,0.0,0.4,0.006,0.0,0.049,0.0,0.002,0.0,0.0,0.0,0.148,0.004,0.0,0.12,0.245
24,0.0,0.694,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.006,0.009,0.0,0.0,0.016,0.0,0.0,0.265
25,0.0,0.296,0.0,0.113,0.0,0.0,0.0,0.009,0.552,0.0,0.0,0.0,0.021,0.001,0.0,0.007,0.0
26,0.377,0.003,0.002,0.514,0.052,0.0,0.001,0.0,0.005,0.0,0.0,0.001,0.02,0.0,0.0,0.014,0.01
27,0.0,0.258,0.0,0.234,0.101,0.011,0.029,0.008,0.001,0.001,0.125,0.004,0.003,0.0,0.066,0.158,0.001
28,0.013,0.319,0.0,0.0,0.003,0.153,0.014,0.055,0.334,0.0,0.065,0.029,0.0,0.0,0.0,0.0,0.014
29,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.301,0.011,0.0,0.012,0.0,0.001,0.673
30,0.0,0.001,0.0,0.002,0.151,0.0,0.142,0.0,0.0,0.0,0.279,0.0,0.004,0.0,0.0,0.0,0.422
31,0.082,0.013,0.0,0.006,0.308,0.001,0.003,0.0,0.0,0.0,0.372,0.062,0.0,0.0,0.01,0.142,0.001
32,0.0,0.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.001,0.0,0.007,0.019
33,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.0,0.0,0.4,0.214,0.0,0.0,0.0,0.001,0.0
34,0.0,0.019,0.002,0.017,0.0,0.0,0.772,0.001,0.043,0.001,0.024,0.0,0.021,0.101,0.0,0.0,0.0
35,0.0,0.0,0.0,0.003,0.346,0.194,0.0,0.0,0.445,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0
36,0.577,0.0,0.016,0.136,0.0,0.007,0.0,0.0,0.132,0.0,0.066,0.0,0.064,0.001,0.0,0.0,0.0
37,0.005,0.013,0.04,0.184,0.342,0.068,0.029,0.0,0.013,0.0,0.006,0.003,0.0,0.002,0.024,0.077,0.192
38,0.009,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0,0.066,0.0,0.008,0.253
39,0.0,0.042,0.046,0.007,0.37,0.02,0.002,0.006,0.457,0.0,0.008,0.004,0.0,0.0,0.014,0.0,0.024
40,0.041,0.487,0.0,0.36,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.038,0.0,0.0,0.001,0.031,0.0
41,0.034,0.0,0.002,0.005,0.02,0.011,0.783,0.016,0.001,0.0,0.061,0.022,0.011,0.015,0.001,0.01,0.008
42,0.006,0.001,0.001,0.026,0.109,0.012,0.376,0.0,0.0,0.0,0.03,0.001,0.0,0.114,0.119,0.022,0.184
43,0.327,0.0,0.033,0.0,0.145,0.083,0.007,0.0,0.131,0.002,0.2,0.035,0.0,0.019,0.004,0.0,0.015
44,0.003,0.19,0.0,0.506,0.0,0.051,0.057,0.002,0.14,0.0,0.005,0.004,0.0,0.042,0.0,0.0,0.0
45,0.904,0.024,0.017,0.0,0.0,0.002,0.0,0.001,0.045,0.002,0.001,0.005,0.0,0.0,0.0,0.0,0.0
46,0.008,0.022,0.0,0.351,0.278,0.002,0.052,0.008,0.052,0.0,0.028,0.093,0.028,0.0,0.041,0.038,0.0
47,0.0,0.0,0.019,0.0,0.547,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.017,0.003,0.032,0.0,0.378
48,0.118,0.0,0.003,0.204,0.04,0.0,0.0,0.0,0.366,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.266
49,0.708,0.164,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.044
50,0.546,0.018,0.0,0.057,0.13,0.006,0.0,0.014,0.0,0.017,0.0,0.006,0.001,0.0,0.11,0.017,0.078
51,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.0,0.13,0.0,0.0,0.004,0.0,0.0,0.0,0.193,0.0
52,0.064,0.581,0.011,0.002,0.0,0.011,0.0,0.0,0.049,0.0,0.027,0.0,0.0,0.0,0.0,0.149,0.105
53,0.0,0.642,0.001,0.004,0.001,0.002,0.014,0.0,0.0,0.0,0.009,0.0,0.0,0.027,0.0,0.016,0.283
54,0.099,0.0,0.0,0.0,0.0,0.003,0.007,0.0,0.001,0.0,0.0,0.828,0.0,0.0,0.0,0.0,0.063
55,0.108,0.497,0.0,0.0,0.0,0.0,0.0,0.001,0.088,0.002,0.029,0.013,0.0,0.0,0.007,0.255,0.0
56,0.053,0.009,0.02,0.009,0.0,0.008,0.008,0.013,0.089,0.0,0.204,0.282,0.043,0.002,0.022,0.049,0.191
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.86,0.0,0.002,0.0,0.0,0.0
58,0.019,0.0,0.0,0.0,0.108,0.0,0.143,0.0,0.0,0.0,0.005,0.725,0.0,0.0,0.0,0.0,0.0
59,0.278,0.0,0.035,0.573,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.0
60,0.311,0.0,0.0,0.087,0.003,0.0,0.008,0.0,0.382,0.0,0.105,0.0,0.0,0.038,0.0,0.066,0.0
61,0.022,0.274,0.0,0.0,0.003,0.001,0.01,0.0,0.287,0.0,0.002,0.011,0.0,0.0,0.109,0.28,0.0
62,0.11,0.005,0.0,0.301,0.011,0.003,0.083,0.009,0.219,0.008,0.0,0.001,0.003,0.063,0.0,0.0,0.184
63,0.029,0.034,0.011,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.013,0.068,0.001,0.007,0.0,0.546,0.029
64,0.601,0.005,0.012,0.295,0.0,0.001,0.036,0.0,0.0,0.0,0.0,0.011,0.01,0.017,0.0,0.001,0.012
65,0.091,0.026,0.0,0.0,0.001,0.0,0.0,0.0,0.003,0.0,0.067,0.786,0.0,0.0,0.014,0.002,0.01
66,0.0,0.0,0.0,0.018,0.0,0.0,0.002,0.0,0.047,0.0,0.002,0.574,0.0,0.057,0.002,0.109,0.19
67,0.003,0.084,0.007,0.012,0.465,0.045,0.078,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.01,0.003,0.229
68,0.0,0.003,0.019,0.0,0.0,0.221,0.005,0.0,0.082,0.021,0.138,0.445,0.0,0.0,0.0,0.066,0.0
69,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.89,0.049,0.044,0.013,0.0,0.0
70,0.0,0.0,0.0,0.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.029,0.117,0.0
71,0.0,0.021,0.0,0.099,0.002,0.0,0.502,0.003,0.001,0.0,0.0,0.005,0.0,0.004,0.077,0.019,0.267
72,0.038,0.024,0.0,0.363,0.006,0.138,0.185,0.003,0.021,0.0,0.072,0.037,0.041,0.02,0.026,0.016,0.01
73,0.001,0.359,0.0,0.0,0.175,0.108,0.108,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.022,0.221,0.002
74,0.626,0.0,0.0,0.019,0.05,0.02,0.0,0.0,0.203,0.0,0.0,0.075,0.0,0.0,0.006,0.0,0.0
75,0.0,0.327,0.003,0.084,0.001,0.007,0.004,0.0,0.081,0.011,0.23,0.045,0.012,0.078,0.0,0.0,0.117
76,0.561,0.378,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.022,0.001,0.0,0.0,0.0,0.011,0.001
77,0.001,0.353,0.0,0.354,0.0,0.0,0.0,0.0,0.061,0.0,0.001,0.0,0.0,0.002,0.01,0.18,0.038
78,0.471,0.401,0.0,0.079,0.007,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.003,0.002,0.0,0.005,0.001
79,0.659,0.0,0.0,0.001,0.0,0.025,0.0,0.0,0.167,0.0,0.0,0.0,0.14,0.008,0.0,0.0,0.0
80,0.001,0.013,0.0,0.0,0.261,0.058,0.203,0.047,0.0,0.006,0.0,0.342,0.064,0.001,0.0,0.0,0.004
81,0.0,0.469,0.017,0.041,0.006,0.0,0.0,0.005,0.271,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.187
82,0.0,0.0,0.0,0.04,0.599,0.0,0.0,0.0,0.008,0.01,0.0,0.005,0.052,0.0,0.0,0.0,0.286
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988,0.0,0.001,0.001,0.0,0.0,0.007,0.002,0.0
84,0.154,0.0,0.0,0.0,0.007,0.11,0.003,0.0,0.355,0.0,0.002,0.225,0.121,0.0,0.0,0.024,0.0
85,0.0,0.0,0.0,0.0,0.0,0.155,0.724,0.004,0.002,0.001,0.031,0.0,0.028,0.055,0.0,0.0,0.001
86,0.0,0.015,0.029,0.002,0.0,0.012,0.178,0.01,0.0,0.01,0.001,0.009,0.044,0.0,0.008,0.002,0.678
87,0.179,0.001,0.003,0.013,0.052,0.0,0.187,0.005,0.234,0.007,0.0,0.001,0.013,0.051,0.098,0.156,0.001
88,0.716,0.147,0.0,0.004,0.001,0.001,0.0,0.0,0.0,0.015,0.065,0.0,0.004,0.002,0.0,0.045,0.0
89,0.064,0.179,0.002,0.0,0.108,0.001,0.156,0.0,0.0,0.0,0.0,0.157,0.11,0.0,0.025,0.0,0.197
90,0.576,0.04,0.0,0.021,0.0,0.0,0.096,0.0,0.019,0.0,0.022,0.21,0.0,0.0,0.0,0.014,0.001
91,0.169,0.0,0.011,0.009,0.0,0.0,0.063,0.0,0.155,0.0,0.031,0.002,0.0,0.0,0.107,0.452,0.0
92,0.018,0.091,0.0,0.25,0.0,0.217,0.32,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.002,0.008,0.085
93,0.007,0.276,0.0,0.012,0.0,0.0,0.475,0.0,0.001,0.0,0.0,0.037,0.0,0.001,0.0,0.0,0.19
94,0.0,0.0,0.0,0.053,0.001,0.059,0.432,0.0,0.028,0.0,0.223,0.008,0.005,0.038,0.0,0.149,0.004
95,0.002,0.074,0.0,0.0,0.339,0.021,0.013,0.0,0.002,0.003,0.132,0.15,0.036,0.006,0.033,0.003,0.185
96,0.553,0.0,0.0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.003,0.004,0.0,0.0,0.269,0.067
97,0.046,0.009,0.005,0.001,0.002,0.0,0.001,0.0,0.102,0.0,0.109,0.342,0.129,0.072,0.069,0.115,0.0
98,0.013,0.014,0.0,0.012,0.304,0.013,0.0,0.0,0.16,0.0,0.078,0.151,0.0,0.0,0.043,0.0,0.213
99,0.068,0.0,0.019,0.0,0.439,0.009,0.0,0.014,0.325,0.0,0.0,0.0,0.017,0.0,0.0,0.024,0.086
100,0.232,0.0,0.021,0.0,0.008,0.0,0.021,0.029,0.045,0.009,0.213,0.246,0.028,0.002,0.001,0.0,0.144
101,0.009,0.13,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.328,0.0,0.0,0.0,0.513,0.018
102,0.01,0.058,0.008,0.202,0.0,0.0,0.101,0.001,0.0,0.0,0.062,0.154,0.025,0.0,0.021,0.007,0.351
103,0.004,0.0,0.0,0.936,0.0,0.0,0.0,0.0,0.045,0.015,0.0,0.001,0.0,0.0,0.0,0.0,0.0
104,0.0,0.008,0.02,0.002,0.019,0.0,0.359,0.0,0.59,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
105,0.009,0.204,0.033,0.128,0.0,0.0,0.0,0.001,0.114,0.0,0.127,0.166,0.043,0.045,0.092,0.036,0.003
106,0.028,0.155,0.0,0.0,0.439,0.001,0.0,0.0,0.013,0.0,0.008,0.0,0.0,0.085,0.004,0.266,0.0
107,0.009,0.0,0.0,0.043,0.003,0.043,0.0,0.042,0.403,0.009,0.075,0.06,0.0,0.092,0.011,0.196,0.015
108,0.0,0.0,0.0,0.0,0.002,0.004,0.0,0.0,0.072,0.0,0.0,0.665,0.0,0.006,0.029,0.014,0.209
109,0.005,0.549,0.013,0.001,0.01,0.0,0.05,0.0,0.0,0.004,0.053,0.238,0.001,0.008,0.0,0.069,0.0
110,0.001,0.317,0.0,0.583,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.001,0.0,0.0,0.002
111,0.0,0.0,0.0,0.009,0.055,0.008,0.678,0.0,0.051,0.0,0.006,0.006,0.0,0.0,0.0,0.186,0.0
112,0.148,0.005,0.0,0.018,0.008,0.0,0.0,0.002,0.0,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.619
113,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0
114,0.0,0.003,0.005,0.124,0.014,0.032,0.653,0.002,0.096,0.004,0.014,0.0,0.009,0.013,0.0,0.03,0.0
